Address from (Decimal),Name,Description,Format,Access,Read Transformation,Write Transformation

8192,UA,A phase voltage,FLOAT32_BE_RE,READ,,
8194,UB,B-phase voltage,FLOAT32_BE_RE,READ,,
8196,UC,C-phase voltage,FLOAT32_BE_RE,READ,,
8198,UAB,AB line voltage,FLOAT32_BE_RE,READ,,
8200,UBC,BC line voltage,FLOAT32_BE_RE,READ,,
8202,UCA,CA line voltage,FLOAT32_BE_RE,READ,,
8204,IA,A phase current,FLOAT32_BE_RE,READ,,
8206,IB,B phase current,FLOAT32_BE_RE,READ,,
8208,IC,C phase current,FLOAT32_BE_RE,READ,,
8210,IN,N-line current,FLOAT32_BE_RE,READ,,
8212,PA,A phase active power,FLOAT32_BE_RE,READ,,
8214,PB,B phase active power,FLOAT32_BE_RE,READ,,
8216,PC,C phase active power,FLOAT32_BE_RE,READ,,
8218,PT,Total active power,FLOAT32_BE_RE,READ,,
8220,QA,A phase reactive power,FLOAT32_BE_RE,READ,,
8222,QB,B-phase reactive power,FLOAT32_BE_RE,READ,,
8224,QC,C-phase reactive power,FLOAT32_BE_RE,READ,,
8226,QT,Total reactive power,FLOAT32_BE_RE,READ,,
8228,SA,A-phase apparent power,FLOAT32_BE_RE,READ,,
8230,SB,B-phase apparent power,FLOAT32_BE_RE,READ,,
8232,SC,C-phase apparent power,FLOAT32_BE_RE,READ,,
8234,ST,Total apparent power,FLOAT32_BE_RE,READ,,
8242,PF,Total power factor,FLOAT32_BE_RE,READ,,
8244,F,Frequency,FLOAT32_BE_RE,READ,,
8260,APangle,A power angle,FLOAT32_BE_RE,READ,,
8262,BPangle,B Power angle,FLOAT32_BE_RE,READ,,
8264,CPangle,C power angle,FLOAT32_BE_RE,READ,,
8278,TempIn,Internal temperature,FLOAT32_BE_RE,READ,,
4096,Addr1,Address 1,UINT16_BE,READ/WRITE,,
4097,Baud1,Baud rate 1,UINT16_BE,READ/WRITE,,
4098,Check1,Check digit 1,UINT16_BE,READ/WRITE,,
4100,Baud2,Baud rate 2,UINT16_BE,READ/WRITE,,
4101,Check2,Check digit 2,UINT16_BE,READ/WRITE,,
4102,645Addr,645 address,UINT16_BE,READ/WRITE,,
4132,Language,language,UINT16_BE,READ/WRITE,,
8300,lat,Latitude,FLOAT32_BE_RE,READ,,
8302,lng,Longitude,FLOAT32_BE_RE,READ,,
